name,address,rankingPosition,rawRanking,priceLevel,numberOfReviews,priceRange,description,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7
Kanidouraku Dotombori-Honten,"1-6-18, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",4,4.090831756591797,$$ - $$$,1054,,,Japanese,Seafood,Sushi,Asian,,,,
Ganso Kushikatsu Daruma Shinsekai Sohonten,"2-3-9 Ebisuhigashi, Naniwa-Ku, Osaka 556-0002 Osaka Prefecture",35,4.086113452911377,$$ - $$$,311,,,Japanese,,,,,,,
Critters Burger,"1-10-35 Nishishinsaibasi, Chuo, Osaka 542-0086 Osaka Prefecture",7,4.384457111358643,$$ - $$$,221,,Home made burger,Diner,American,Bar,Vegetarian Friendly,,,,
Charcoal Grilled Beef Showa Taishu Horumon Dotonbori,"1-5-9 1f, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",6,4.066439151763916,$$ - $$$,102,"$2,000 - $4,500","The largest selection of domestic fresh yakiniku and horumon in Japan! ! An all-you-can-eat plan (2-hour LO 90 minutes) is also available at a reasonable price! +1500 Yen all-you-can-drink OK All-you-can-drink is abundant with 50 types! Please enjoy a banquet with excellent cost performance ◇ If you enjoy all-you-can-eat and all-you-can-eat authentic yakiniku, it is decided here!",Barbecue,,,,,,,
Taqueria La Fonda,"2-2-14 Tokuicho, Chuo, Osaka 540-0025 Osaka Prefecture",16,4.098100662231445,$$ - $$$,133,$2 - $3,Lunch Time 12:00-15:00(l.o 14:30) Happy Hour 16:00-18:00 Dinner Time 18:00-22:00(l.o 21:30) (15:00-16:00 Close),Mexican,Latin,Vegetarian Friendly,Vegan Options,,,,
GYOZAOH! Dotonbori Store,"2-4-14, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",1,4.614104747772217,$$ - $$$,450,"$1,000 - $2,500","The king of Speciality Gyoza “GyozaOH!” This long-established gyoza restaurant has a history of over 50 years. Once you try it, you can’t help eating.",Japanese,Pub,Asian,Vegetarian Friendly,Vegan Options,,,
Tavern Uoman Links Umeda,"1-1 Ofukacho Kita-ku Links Umeda 8F, Osaka 530-0011 Osaka Prefecture",27,4.154918670654297,$$ - $$$,201,,,Japanese,,,,,,,
Alto Tritone,"1-4-20 Oyodominami, Kita-Ku 1F Hasegawa Bldg, Osaka 531-0075 Osaka Prefecture",6,4.703829765319824,$$ - $$$,208,"$3,000 - $7,000","Had been operating in Osaka Kitashinchi '36 is closed once ""Tritone"". Through the charging period of one year, changed the location to Oyodominami Kita-ku, Osaka, to change the store name to ""Alto Tritone"" was reopened.",Italian,Mediterranean,European,Vegan Options,,,,
Ajinoya,"1-7-16, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",4,4.384766578674316,$$ - $$$,381,"$1,000 - $3,000",,Japanese,,,,,,,
Kuma Kafe,"4-4-15 Chikko, Minato-Ku, Osaka 552-0021 Osaka Prefecture",4,4.7392258644104,$$ - $$$,707,"$600 - $2,900","Kuma Kafe Delicious made from scratch home style western comfort food, with the true taste of home. We recognise the love the world has for Japanese food but also realise the need to take a break from it and taste some good ole fashioned food we are use too. Some limited vegetarian, options are available. Come, relax and enjoy our comfortable relaxing and informal space, take a small break from the stress of travels and recharge.",Bar,Pizza,Cafe,Australian,Vegetarian Friendly,Vegan Options,Gluten Free Options,
Yaekatsu,"3-4-13 Ebisuhigashi, Naniwa-Ku, Osaka 556-0002 Osaka Prefecture",63,3.799005270004273,$$ - $$$,227,"$1,000 - $3,000",,Japanese,,,,,,,
Fujiya 1935,"2-4-14 Yariyamachi, Chuo, Osaka 540-0027 Osaka Prefecture",39,3.774596929550171,$$$$,146,,,European,International,,,,,,
Genjisoba,"4-5-8 Nanchi Terminal Bldg, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",9,3.782103538513184,$$ - $$$,72,"$900 - $3,500","Mon restaurant vous offre la possibilité de découvrir à la fois un plat de Soba, spécialité de ce restaurant depuis 1929 ainsi qu’un bol de riz orné d’un accompagnement de votre choix, plat traditionnel du Japon. Le tout est préparé à base des meilleurs ingrédients du terroir Japonais et un savoir-faire transmis de père en fils depuis 3 générations.",Japanese,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options,,,
Kimukatsu Shinsaibashi,"3-5-22 Minamisemba Sakura Shinsaibashi B1F, Chuo, Osaka 542-0081 Osaka Prefecture",38,3.774904251098633,$$ - $$$,71,"$1,250 - $3,000","Japanese Tonkatsu (pork cutlet) restaurant The specialty is ""Millefeuille Tonkatsu"" Uses only the delicious parts of carefully selected pork loin. Loins are thinly sliced and re-stacked into a cutlet shape, breaded with special-made raw breadcrumbs, then fried to create this supreme dish.",Japanese,Asian,Japanese Fusion,,,,,
Italian Restaurant La Veduta,"3-6-12 Hommachi St. Regis Osaka 12F, Chuo, Osaka 541-0053 Osaka Prefecture",36,3.810997247695923,$$$$,192,,La Veduta is a destination for exquisite foods prepared in the best italian culinary traditions.,Italian,European,,,,,,
Yakiniku Douraku Sennichimae,"2-1-6, Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",2,3.8856818675994873,$$ - $$$,71,"$1,000 - $10,000",難波・千日前で最高の銘柄和牛をリーズナブルな価格から 焼肉どうらく千日前店は、千日前駅から徒歩3分、若者や食通の集まる裏難波の片隅に2018年12月にオープン致しました。 銘柄和牛を一頭買いすることで、定番人気部位から希少部位まで、高品質・良質なお肉をリーズナブルな価格でお楽しみいただけます。 近鉄難波線 近鉄日本橋駅 から徒歩で1分。座席数76席。,Barbecue,Japanese,,,,,,
551 Horai,"3-6-3, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",8,3.824454307556152,$,333,"$800 - $1,000",,Chinese,Fast Food,Asian,,,,,
Kanbukuro,"Shinzaikechohigashi, Sakaiku, Sakai 590-0964 Osaka Prefecture",1,3.918664932250977,$$ - $$$,174,,,,,,,,,,
Yakiniku no Gyuta Honjin Links Umeda,"1-1-1 Ofukacho, Kita-ku Links Umeda 8F, Osaka 530-0011 Osaka Prefecture",50,3.931957244873047,$$ - $$$,76,,,Barbecue,,,,,,,
Yakiniku Douraku Shinsaibashi,"3-11-3 Minamisemba Yamashita Bldg. 2F, Chuo, Osaka 542-0081 Osaka Prefecture",33,3.880061388015747,$$ - $$$,59,"$1,000 - $5,000","Shinsaibashi Station 5 minutes ""Wagyu Beef"" enjoying Yakiniku restaurant It is a fashionable store where calm BGM (jazz · R & B) flows. Please enjoy the carefully selected and Japanese beef. Wine to match the grilled meat is also substantial.",Barbecue,Grill,Japanese,Steakhouse,Asian,,,
Shisha Cafe GEEK,"4-10-2 Nippombashi, Naniwa-Ku, Osaka 556-0005 Osaka Prefecture",45,3.96807861328125,$,36,,,Cafe,,,,,,,
La Baie,"2-5-25 Umeda, Kita-ku The Ritz Carlton Osaka, Osaka 530-0001 Osaka Prefecture",48,3.9480419158935542,$$$$,123,"$13,500 - $40,000","La Baie, the hotel's signature restaurant, serves traditional French delicacies accounted with the chef's originality, along with award-winning wines and champagnes. La Baie has been awarded one star by the prestigious Michelin Guide. -Exceptional shellfish and meat dishes available in the course menus -Knowledgeable Sommeliers assist you in choosing from our award-winning wine list -Lunch time: sophisticated casual attire is suggested. Short pants and sandals are not permitted for gentlemen. -Dinner time: sophisticated elegant attire is suggested. T-shirt, polo shirt, sweat shirt, short pants and sandals are not permitted for gentlemen.",French,European,Central European,,,,,
Kaze no Machi Kyobashi,"5-1-19 Higashinodacho Miyakojima-Ku, Osaka 534-0024 Osaka Prefecture",64,3.789183378219605,$$ - $$$,77,"$1,000 - $5,000",,Japanese,Asian,Vegetarian Friendly,Vegan Options,,,,
Shabuchin Namba,"13-18 Namba Sennichimae, Chuo, Osaka 542-0076 Osaka Prefecture",25,3.9953463077545166,$$ - $$$,171,"$3,500 - $5,000","Shabu-Shabu, along with sushi, sukiyaki and tempura, is one of japanese famous styles of food.",Japanese,Asian,,,,,,
Ali's Kitchen Osaka Halal Restaurant,"1-10-12 Shinsaibashisuji Tres Bldg. B1F, Chuo, Osaka 542-0085 Osaka Prefecture",27,3.9787092208862314,$$ - $$$,220,$8 - $20,"Michelin Guide 2017 & 2018 Osaka Kyoto choice restaurant. Most Muslims visitor Halal restaurant in Osaka. ALI'S KITCHEN Osaka Halal Restaurant. First 100% Halal restaurant in osaka. Ali's Kitchen has 2 types of food Arabic and Pakistani halal food in Osaka, We are located in very convenient place just next to H&M and Uniqlo shinsaibashi station exit no. 4 or 5 and turn left only for 2 mints from H & M Turn left you will find Pakistani flag, thats our location First Pakistani & Arabic food restaurant in Japan who got Machine Guide Osaka Kyoto choice award thats our effort to cook serve till delver with last ... please check once",Indian,Asian,Middle Eastern,Pakistani,Arabic,Vegetarian Friendly,Vegan Options,Halal
Cafe ABSINTHE,"1-2-27 Kitahorie, Nishi-ku AXIS SOUTH Yotsubashi Bldg. 102, Osaka 550-0014 Osaka Prefecture",57,3.8384227752685542,$$ - $$$,62,"$1,000 - $3,000","Located at the entrance of Shinsaibashi and Horie in Osaka, about a 3-minute walk north from America-mura Triangle Park, ""Cafe ABSINTHE"" is a casual dining spot where you can enjoy a wide range of uses such as lunch, cafe, dinner, and bar, which is its greatest appeal. It can be used for dates, girls' gatherings, relaxing time to heal the tiredness of travelers on a trip, and various scenes. The perfect companion for each scene is authentic Mediterranean cuisine showcasing the skills of professionals. Our Mediterranean cuisine caters to a wide range of tastes, from ""pasta"" and ""risotto"" to vegetarian and vegan options centered around vegetables and legumes, such as ""hummus"" and ""falafel,"" supporting dining with family and friends. The selection of ""ABSINTHE,"" which is also the name of the store, is second to none, and various cocktails poured from the enchanting bartender's shaker will help create your memorable moments.",Bar,Mediterranean,European,Healthy,Middle Eastern,Dining bars,Vegetarian Friendly,Vegan Options
THE GARDEN ORIENTAL OSAKA,"10-35 Amijimacho, Miyakojima-Ku, Osaka 534-0026 Osaka Prefecture",46,3.9662973880767822,$$ - $$$,127,"$3,800 - $18,000",,Italian,,,,,,,
Itamae Yakiniku (Grilled meat) Itto Shinsaibashi  Bekkan,"1-17-12 Higashishinsaibashi, Chuo, Osaka Osaka Prefecture",34,3.866346836090088,$$ - $$$,103,,,Japanese,Steakhouse,Barbecue,Asian,,,,
CHIBO,"1-5-5 Chibo Dotonbori Bldg. 1F to 6F, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",7,4.03436803817749,$$ - $$$,592,"$1,500 - $2,500","Come to Dotonbori when you travel, or go sightseeing!! Please come to Dotonbori branch of Chibo and have a taste of Okonomiyaki (Japanese Pancake)!! Speaking of Osaka food, the most famous is Okonomiyaki. With its distinctive Okonomiyaki, Chibo has been among the tiny number of restaurants which have 60 chain stores in Osaka. Be sure to come to Dotonbori branch of Chibo, having a capacity of 200 people, and have a taste of local food in Osaka.",Japanese,Asian,Grill,Vegetarian Friendly,,,,
Hanamaruken Namba Houzenji,"1-2-1, Namba, Chuo, Osaka Osaka Prefecture",7,4.031583309173584,$$ - $$$,212,,,Japanese,Asian,,,,,,
Matsusakagyu Yakiniku M Houzenji  Hanare,"1-5-24 Daruma Bldg. 2F, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",6,4.057132244110107,$$ - $$$,170,"$6,000 - $10,000",,Japanese,Barbecue,Asian,,,,,
Hard Rock Cafe,"Shimaya, Konohanaku, Osaka 554-0024 Osaka Prefecture",72,3.750776529312134,$$ - $$$,304,,"Hard Rock Cafe is a global phenomenon with 185 cafes that are visited by nearly 80 million guests each year. The first Hard Rock Cafe opened on June 14, 1971, in London, England, and from there the brand has expanded to major cities and exotic locations around the world.",Bar,Cafe,Diner,Dining bars,Beer restaurants,,,
Hafez,"1-2-14 Kitahorie, Nishi-ku Subway Yotsubashi Line Yotsubashi Station Exit 5 2F, Osaka 550-0014 Osaka Prefecture",70,3.758965015411377,$$ - $$$,132,"$250 - $3,000",7 Days,Middle Eastern,Persian,Turkish,Grill,Halal,,,
Yakiniku DOURAKU Souemon,"3-5 Souemoncho 2F, Chuo, Osaka 542-0084 Osaka Prefecture",28,3.9534504413604736,$$ - $$$,69,"$4,000 - $10,000",銘柄和牛を一頭買いすることで、定番人気部位から希少部位まで、高品質・良質なお肉をリーズナブルな価格でお楽しみいただけます。最高級の神戸牛もお取り扱いしております。 お客様に至福の時間を過ごしてしていただく為に、よりよい商品をより美味しく、より手頃な価格で提供し、最高のおもてなしをしたい。 社員・アリバイとを含む全ての焼肉どうらくグループの構成員が、この企業理念を自覚し、お客様にとっての最高のおもてなしという目的に向かって日々成長しております。,Barbecue,Japanese,Steakhouse,Asian,,,,
Kobe Beef Ishida Herbis Plaza,"2-5-25 Umeda, Kita-Ku Herbis Plaza B2, Osaka 530-0001 Osaka Prefecture",62,3.803194761276245,$$$$,42,,,Japanese,,,,,,,
Ura Namba X Grilled Meat Bal Toranitsuno,"2-3-24 Hisatomi Sen'nichi Plaza 2F, Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",3,3.741787672042847,$$ - $$$,35,,,Japanese,,,,,,,
"Matsusakagyu Yakiniku M, Hozenji Yokocho","1-1-19, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",3,4.431260108947754,$$$$,1254,"$5,500 - $6,500","Our restaurant offers Matsusaka-beef, one of the three major Wagyu in Japan.You can experience the finest quality Matsusaka-beef at a reasonable price.",Japanese,Steakhouse,Barbecue,Asian,Gluten Free Options,,,
Tokumasa Udon Morinomiya,"1-16-22 Morinomiya Chuo, Chuo, Osaka 540-0003 Osaka Prefecture",29,3.9463279247283936,$$ - $$$,137,,,Japanese,Asian,,,,,,
Gokan Kitahama Honkan,"2-1-1 Imabashi Arai Bldg., Chuo, Osaka 541-0042 Osaka Prefecture",41,3.754025936126709,$$ - $$$,139,"$1,000 - $3,000",,Cafe,,,,,,,
"Ganso Kushikatsu Daruma, Dotombori","1-6-8, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",9,3.7354557514190674,$$ - $$$,256,"$1,000 - $3,999",,Japanese,Asian,,,,,,
Tsurutontan Soemoncho,"3-17 Soemoncho, Chuo, Osaka 542-0084 Osaka Prefecture",40,3.768857002258301,$$ - $$$,218,"$1,000 - $8,000",,Japanese,Kaiseki,Vegetarian Friendly,,,,,
Honke Shibato,"2-5-2 Koraibashi, Chuo, Osaka 541-0043 Osaka Prefecture",57,3.638563632965088,$$$$,76,"$4,500 - $20,000",since 1713 Osaka style Unagi / Eel Restaurant We are 15th generation now. We are looking foward to serving you with various Unagi / Eel dishes.,Japanese,,,,,,,
Daiki Suisan Kaiten Sushi Dotonbori branch,"1-7-24 Shikairo Dotombori Bldg. 1F, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",12,3.65485429763794,$$ - $$$,143,"$1,000 - $4,000","大起水産 回転寿司 道頓堀店は大阪府道頓堀にある回転寿司屋です！ 近鉄日本橋駅から徒歩5分、地下鉄なんば駅から徒歩4分ほどのところにあります。『鮮度がごちそう』をテーマに自然の恵みに感謝して『食』がもたらすあらゆる価値を追求し、豊かな社会の実現に貢献します。 ""鮮度""にこだわり、日本全国や海外の産地と独自の仕入れルートを開拓しており、獲れたての海の幸を新鮮なままその日の内に届ける流通システムを構築しています。 本当に""新鮮""なものだけを、本当にお値打ちの価格でお召し上がりいただけることも人気のひとつです！ 店内でのランチやディナーはもちろんテイクアウトメニューも充実しているので自宅でゆっくりお寿司をお楽しみいただくのもおすすめです。 週末など込み合う日にはインターネットより事前に順番待ち受付していただくことも可能です！ 寿司セミナーも毎日開催しております。",Japanese,Seafood,Sushi,,,,,
Takoyaki Doraku Wanaka Namba,"3-7-24, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",12,3.652344226837158,$,70,"$400 - $1,000",,Japanese,Fast Food,,,,,,
"Indian Curry, Nagahori","2 Minamisenba, Chuo, Osaka 542-0081 Osaka Prefecture",59,3.6269237995147705,$$ - $$$,141,"$800 - $1,000",,,,,,,,,
Mizuno,"1-4-15, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",10,3.657926797866821,$$ - $$$,524,"$1,000 - $3,000",,Japanese,,,,,,,
French restaurant Pierre,"3-60 Ofukacho, Kita-ku 20F InterContinental Hotel Osaka, Osaka 530-0011 Osaka Prefecture",99,3.6445152759552,$$$$,106,"$5,500 - $100,000","Pierre affords the finest in InterContinental Osaka dining. Pierre is our signature dining experience. Guests enjoy superb culinary creativity from our signature Olive Beef to exquisite seafood, veal, and vegetable dishes carefully prepared in a refined French style. Each dinner is a sumptuous feast for the eye and palate with delicate Japanese touches. We offer the very best champagnes and wines including our boutique blend to complete your extraordinary dining experience at Pierre.",French,Fusion,Vegetarian Friendly,,,,,
Shabutei Nishiumeda Branch,"2-1-15 Umeda, Kita-ku, Osaka 530-0001 Osaka Prefecture",98,3.648576021194458,$$ - $$$,82,,"Outstanding Shabu-Shabu, families and single guests welcome alike",Japanese,Asian,,,,,,
Rock Cafe Bar USAGI,"1-1-9 4F Masudaya Bldg., Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",11,3.657376766204834,$$ - $$$,58,,"No charge, Free Wi-fi.  You can use credit card. We love Elvis Presley and American oldies. We take you OMOTENASHI!!!!!",Bar,Pub,,,,,,
Craft Burger Co. (Horie),"1-6-12 Kitahorie, Osaka 550-0014 Osaka Prefecture",100,3.6412930488586426,$$ - $$$,68,$10 - $20,Craft Burger co. use only the finest ingredients to create an exciting range of unique gourmet burgers.,American,Bar,Gastropub,Pub,,,,
Sushi Hayata,"___ 2-6-4, Chuo, Osaka 541-0044 Osaka Prefecture",50,3.670253992080689,$$ - $$$,75,"$1,000 - $10,000","It is a shop opened by couples after a long training of lower stacking. The ingredients are fresh ingredients that are carefully selected by the generals going directly to the market. Featuring the taste of a high-end sushi restaurant, Because of such a peaceful atmosphere, you can easily enter the shop and relax and enjoy your meal.Not only nigiri sushi but also a variety of items are also available, grilled fish, boiled fish, tempura, We can offer all of the red soup.It takes a little time to serve because it is held by two chefs, but we promise a special experience.When you want to eat sushi, Please visit us at [Sushi Hayada], and we are all waiting for you.",Japanese,Seafood,Sushi,Asian,,,,
Micasadeco & Cafe Osaka,"1-2-8 Saiwaicho, Naniwa-Ku Minatomachi 82 Bldg 1F, Osaka 556-0021 Osaka Prefecture",87,3.672306060791016,$$ - $$$,117,"$900 - $1,750","Dear customers, Thank you for visiting us today, but we are currently closed due to shop renovations. Period of business suspension: Monday, August 19th - Saturday, August 31st We appreciate your understanding. MICASADECO&CAFE staff",Cafe,Vegetarian Friendly,Vegan Options,,,,,
Bar Country,"5-34 Soemoncho, Chuo, Osaka 542-0084 Osaka Prefecture",48,3.699625253677368,$$ - $$$,53,"$2,500 - $5,000",Please understand Japanese standard bar need charge system. every customer ¥500 per each but include small food.,,,,,,,,
